OFFENSE_CODE_GROUP	OFFENSE_DESCRIPTION	OCCURRED_ON_DATE	YEAR	MONTH	DAY_OF_WEEK	HOUR	STREET
Disorderly Conduct	AFFRAY	13-03-2017 13:26	2017	3	Monday	13	
Aircraft	AIRCRAFT INCIDENTS	09-03-2017 08:02	2017	3	Thursday	8	
Aircraft	AIRCRAFT INCIDENTS	05-03-2017 10:26	2017	3	Sunday	10	
Aircraft	AIRCRAFT INCIDENTS	01-03-2017 15:20	2017	3	Wednesday	15	
Disorderly Conduct	AFFRAY	05-02-2017 00:58	2017	2	Sunday	0	
Disorderly Conduct	AFFRAY	30-01-2017 01:51	2017	1	Monday	1	
Disorderly Conduct	AFFRAY	20-11-2016 12:38	2016	11	Sunday	12	
Disorderly Conduct	AFFRAY	11-10-2016 08:42	2016	10	Tuesday	8	
Disorderly Conduct	AFFRAY	27-08-2016 09:30	2016	8	Saturday	9	
Disorderly Conduct	AFFRAY	25-08-2016 19:45	2016	8	Thursday	19	
