OFFENSE_CODE_GROUP	OFFENSE_DESCRIPTION	OCCURRED_ON_DATE	YEAR	MONTH	DAY_OF_WEEK	HOUR	STREET
Disorderly Conduct	AFFRAY	18-12-2017 15:44	2017	12	Monday	15	COVENTRY ST
Disorderly Conduct	AFFRAY	06-04-2017 03:18	2017	4	Thursday	3	CREIGHTON ST
Disorderly Conduct	AFFRAY	14-12-2017 13:53	2017	12	Thursday	13	CROFTLAND AVE
Disorderly Conduct	AFFRAY	31-10-2017 01:47	2017	10	Tuesday	1	CROWELL ST
Disorderly Conduct	AFFRAY	22-05-2018 08:30	2018	5	Tuesday	8	CUMMINS HWY
Disorderly Conduct	AFFRAY	15-01-2017 04:43	2017	1	Sunday	4	CUMMINS HWY
Disorderly Conduct	AFFRAY	09-03-2016 16:00	2016	3	Wednesday	16	DALE ST
Disorderly Conduct	AFFRAY	18-06-2018 19:30	2018	6	Monday	19	DALTON ST
Disorderly Conduct	AFFRAY	14-08-2016 15:21	2016	8	Sunday	15	DARTMOUTH ST
Disorderly Conduct	AFFRAY	25-02-2016 18:04	2016	2	Thursday	18	DUDLEY ST
Disorderly Conduct	AFFRAY	15-05-2017 13:30	2017	5	Monday	13	E BERKELEY ST
Disorderly Conduct	AFFRAY	19-10-2017 20:05	2017	10	Thursday	20	E BROOKLINE ST
Disorderly Conduct	AFFRAY	03-05-2017 17:41	2017	5	Wednesday	17	E EAGLE ST
Disorderly Conduct	AFFRAY	21-06-2016 19:20	2016	6	Tuesday	19	E EIGHTH ST
Disorderly Conduct	AFFRAY	21-08-2017 00:51	2017	8	Monday	0	E FOURTH ST
Disorderly Conduct	AFFRAY	13-08-2015 19:28	2015	8	Thursday	19	E NINTH ST
Disorderly Conduct	AFFRAY	03-06-2017 17:05	2017	6	Saturday	17	ELLINGTON ST
Disorderly Conduct	AFFRAY	05-12-2017 01:38	2017	12	Tuesday	1	ESSEX ST
Disorderly Conduct	AFFRAY	17-08-2015 03:40	2015	8	Monday	3	ESSEX ST
Disorderly Conduct	AFFRAY	29-04-2018 01:51	2018	4	Sunday	1	EXETER ST
Disorderly Conduct	AFFRAY	11-02-2017 11:14	2017	2	Saturday	11	FAWNDALE RD
Disorderly Conduct	AFFRAY	24-09-2016 02:30	2016	9	Saturday	2	FRANKLIN ST
Disorderly Conduct	AFFRAY	24-09-2016 02:17	2016	9	Saturday	2	FRANKLIN ST
Disorderly Conduct	AFFRAY	10-04-2017 12:40	2017	4	Monday	12	G ST
Disorderly Conduct	AFFRAY	25-06-2017 01:52	2017	6	Sunday	1	GARFIELD AVE
Disorderly Conduct	AFFRAY	06-06-2017 00:40	2017	6	Tuesday	0	GENERAL LAWRENCE J LOGAN 
Disorderly Conduct	AFFRAY	12-04-2018 12:12	2018	4	Thursday	12	GENEVA AVE
Disorderly Conduct	AFFRAY	28-06-2016 21:12	2016	6	Tuesday	21	GENEVA AVE
Disorderly Conduct	AFFRAY	03-07-2015 21:36	2015	7	Friday	21	GENEVA AVE
Disorderly Conduct	AFFRAY	29-01-2018 02:46	2018	1	Monday	2	GERARD ST
Disorderly Conduct	AFFRAY	11-05-2018 12:03	2018	5	Friday	12	GLEN RD
Disorderly Conduct	AFFRAY	19-11-2015 21:51	2015	11	Thursday	21	HAMMOND ST
Aircraft	AIRCRAFT INCIDENTS	10-07-2018 12:54	2018	7	Tuesday	12	HARBORSIDE DR
Disorderly Conduct	AFFRAY	25-06-2018 11:13	2018	6	Monday	11	HARRISON AVE
Disorderly Conduct	AFFRAY	30-04-2018 05:10	2018	4	Monday	5	HARRISON AVE
Disorderly Conduct	AFFRAY	05-11-2017 18:43	2017	11	Sunday	18	HARRISON AVE
Disorderly Conduct	AFFRAY	25-09-2017 12:34	2017	9	Monday	12	HARRISON AVE
Disorderly Conduct	AFFRAY	07-01-2017 00:00	2017	1	Saturday	0	HARRISON AVE
Disorderly Conduct	AFFRAY	21-12-2016 17:00	2016	12	Wednesday	17	HARRISON AVE
Disorderly Conduct	AFFRAY	03-07-2017 21:57	2017	7	Monday	21	HAVILAND ST
Disorderly Conduct	AFFRAY	21-04-2018 23:18	2018	4	Saturday	23	HIGH ST
Disorderly Conduct	AFFRAY	10-04-2016 01:50	2016	4	Sunday	1	HIGH ST
Disorderly Conduct	AFFRAY	24-07-2016 18:17	2016	7	Sunday	18	HUMBOLDT AVE
Aircraft	AIRCRAFT INCIDENTS	06-12-2016 03:01	2016	12	Tuesday	3	HYDE PARK AVE
Disorderly Conduct	AFFRAY	24-07-2016 02:27	2016	7	Sunday	2	INDIA ST
Disorderly Conduct	AFFRAY	19-07-2015 01:13	2015	7	Sunday	1	INTERVALE ST
Disorderly Conduct	AFFRAY	15-04-2017 01:58	2017	4	Saturday	1	IPSWICH ST
Disorderly Conduct	AFFRAY	21-02-2018 16:23	2018	2	Wednesday	16	JERSEY ST
Disorderly Conduct	AFFRAY	01-11-2016 07:00	2016	11	Tuesday	7	JOHNSTON RD
Disorderly Conduct	AFFRAY	12-09-2016 19:59	2016	9	Monday	19	KENWOOD ST
Disorderly Conduct	AFFRAY	20-03-2016 13:24	2016	3	Sunday	13	L ST & BROADWAY
Disorderly Conduct	AFFRAY	03-03-2018 02:33	2018	3	Saturday	2	LAGRANGE ST
Disorderly Conduct	AFFRAY	30-03-2018 22:03	2018	3	Friday	22	LANSDOWNE ST
Disorderly Conduct	AFFRAY	18-11-2017 22:37	2017	11	Saturday	22	LANSDOWNE ST
Disorderly Conduct	AFFRAY	04-07-2017 00:43	2017	7	Tuesday	0	LANSDOWNE ST
Disorderly Conduct	AFFRAY	08-12-2016 19:13	2016	12	Thursday	19	LATTIMORE CT
Disorderly Conduct	AFFRAY	13-06-2017 19:32	2017	6	Tuesday	19	LAWRENCE AVE
Disorderly Conduct	AFFRAY	29-06-2016 19:00	2016	6	Wednesday	19	LENOX ST
Disorderly Conduct	AFFRAY	06-05-2017 04:28	2017	5	Saturday	4	LIVERPOOL ST
Disorderly Conduct	AFFRAY	15-11-2017 06:57	2017	11	Wednesday	6	MALCOLM X BLVD
Disorderly Conduct	AFFRAY	10-05-2017 10:40	2017	5	Wednesday	10	MALCOLM X BLVD
Disorderly Conduct	AFFRAY	03-10-2016 19:54	2016	10	Monday	19	MALCOLM X BLVD
Disorderly Conduct	AFFRAY	27-02-2016 01:47	2016	2	Saturday	1	MARINA PARK DR
Disorderly Conduct	AFFRAY	27-06-2016 15:43	2016	6	Monday	15	MARTIN LUTHER KING JR BLV
Disorderly Conduct	AFFRAY	19-08-2018 19:32	2018	8	Sunday	19	MASSACHUSETTS AVE
Disorderly Conduct	AFFRAY	17-12-2017 02:52	2017	12	Sunday	2	MASSACHUSETTS AVE
Disorderly Conduct	AFFRAY	23-09-2016 12:25	2016	9	Friday	12	MASSACHUSETTS AVE
Disorderly Conduct	AFFRAY	05-09-2016 00:11	2016	9	Monday	0	MASSACHUSETTS AVE
Disorderly Conduct	AFFRAY	05-08-2016 20:45	2016	8	Friday	20	MASSACHUSETTS AVE
Disorderly Conduct	AFFRAY	02-02-2017 13:00	2017	2	Thursday	13	MCBRIDE ST
Disorderly Conduct	AFFRAY	17-12-2015 10:48	2015	12	Thursday	10	MCBRIDE ST
Disorderly Conduct	AFFRAY	02-09-2018 13:09	2018	9	Sunday	13	MCKINLEY SQ
Disorderly Conduct	AFFRAY	19-05-2016 00:00	2016	5	Thursday	0	MELNEA CASS BLVD
Disorderly Conduct	AFFRAY	27-08-2017 04:38	2017	8	Sunday	4	MERIDIAN ST
Disorderly Conduct	AFFRAY	03-08-2016 13:34	2016	8	Wednesday	13	MERIDIAN ST
Disorderly Conduct	AFFRAY	09-08-2017 10:54	2017	8	Wednesday	10	MORTON ST
Disorderly Conduct	AFFRAY	20-06-2017 22:24	2017	6	Tuesday	22	N BEACON ST
Other	ABDUCTION - INTICING	01-07-2015 20:30	2015	7	Wednesday	20	NAZING ST
Other	ABDUCTION - INTICING	10-04-2018 08:00	2018	4	Tuesday	8	NEEDHAM RD
Disorderly Conduct	AFFRAY	13-02-2017 15:03	2017	2	Monday	15	NEW CHARDON ST
Other	ABDUCTION - INTICING	01-08-2017 14:07	2017	8	Tuesday	14	NEW ENGLAND AVE
Disorderly Conduct	AFFRAY	01-03-2018 17:15	2018	3	Thursday	17	NEWBURY ST
Other	ABDUCTION - INTICING	01-02-2016 15:15	2016	2	Monday	15	NEWBURY ST
Disorderly Conduct	AFFRAY	14-07-2016 17:05	2016	7	Thursday	17	NEWTON ST
Disorderly Conduct	AFFRAY	24-11-2016 16:52	2016	11	Thursday	16	NIGHTINGALE ST
Disorderly Conduct	AFFRAY	24-10-2017 18:30	2017	10	Tuesday	18	NORFOLK ST
Other	ABDUCTION - INTICING	05-01-2016 16:12	2016	1	Tuesday	16	NORFOLK ST
Disorderly Conduct	AFFRAY	23-08-2015 20:30	2015	8	Sunday	20	NORTHERN AVE
Disorderly Conduct	AFFRAY	26-06-2018 17:25	2018	6	Tuesday	17	NORWELL ST
Disorderly Conduct	AFFRAY	04-11-2016 19:00	2016	11	Friday	19	NORWELL ST
Disorderly Conduct	AFFRAY	01-10-2017 17:51	2017	10	Sunday	17	PARIS ST
Disorderly Conduct	AFFRAY	09-04-2017 07:43	2017	4	Sunday	7	PARKER HILL AVE
Simple Assault	A&B ON POLICE OFFICER	04-02-2016 15:00	2016	2	Thursday	15	PARKMAN ST
Disorderly Conduct	AFFRAY	15-03-2018 13:01	2018	3	Thursday	13	PEACEVALE RD
Disorderly Conduct	AFFRAY	01-11-2017 08:48	2017	11	Wednesday	8	PEACEVALE RD
Disorderly Conduct	AFFRAY	27-02-2017 12:22	2017	2	Monday	12	PEACEVALE RD
Disorderly Conduct	AFFRAY	07-02-2017 12:55	2017	2	Tuesday	12	PEACEVALE RD
Disorderly Conduct	AFFRAY	01-12-2016 12:17	2016	12	Thursday	12	PEACEVALE RD
Simple Assault	A&B ON POLICE OFFICER	08-03-2017 21:34	2017	3	Wednesday	21	PEMBROKE ST
Disorderly Conduct	AFFRAY	21-01-2017 02:02	2017	1	Saturday	2	PORTLAND ST
Aircraft	AIRCRAFT INCIDENTS	30-05-2018 19:03	2018	5	Wednesday	19	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-05-2018 17:45	2018	5	Saturday	17	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	01-03-2018 05:51	2018	3	Thursday	5	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-01-2018 17:42	2018	1	Monday	17	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	11-11-2017 15:07	2017	11	Saturday	15	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	23-10-2017 16:19	2017	10	Monday	16	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	23-10-2017 12:38	2017	10	Monday	12	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	04-10-2017 19:40	2017	10	Wednesday	19	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-08-2017 11:34	2017	8	Saturday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	22-08-2017 11:44	2017	8	Tuesday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	19-08-2017 18:06	2017	8	Saturday	18	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	28-07-2017 18:21	2017	7	Friday	18	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-07-2017 18:48	2017	7	Saturday	18	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	27-06-2017 11:00	2017	6	Tuesday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	24-06-2017 11:23	2017	6	Saturday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	28-03-2017 11:24	2017	3	Tuesday	11	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	22-03-2017 10:59	2017	3	Wednesday	10	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-02-2017 20:40	2017	2	Sunday	20	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	25-01-2017 16:22	2017	1	Wednesday	16	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	19-01-2017 12:35	2017	1	Thursday	12	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-01-2017 19:21	2017	1	Sunday	19	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	02-07-2016 15:14	2016	7	Saturday	15	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	01-07-2016 17:29	2016	7	Friday	17	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	29-01-2016 21:12	2016	1	Friday	21	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-12-2015 23:22	2015	12	Saturday	23	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	26-12-2015 14:41	2015	12	Saturday	14	PRESCOTT ST
Aircraft	AIRCRAFT INCIDENTS	08-12-2015 13:42	2015	12	Tuesday	13	PRESCOTT ST
Disorderly Conduct	AFFRAY	02-10-2016 22:23	2016	10	Sunday	22	QUEENSBERRY ST
Disorderly Conduct	AFFRAY	04-03-2018 00:04	2018	3	Sunday	0	RHOADES ST
Disorderly Conduct	AFFRAY	17-08-2016 00:17	2016	8	Wednesday	0	RIPLEY RD
Disorderly Conduct	AFFRAY	23-08-2017 01:14	2017	8	Wednesday	1	RIVER ST
Disorderly Conduct	AFFRAY	11-11-2016 02:11	2016	11	Friday	2	RIVER ST
Disorderly Conduct	AFFRAY	01-01-2016 03:34	2016	1	Friday	3	RIVER ST
